half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,1,0,1,1,64,0.0780002,-0.0569223,-0.0594494,0,0,0
0,0,1,0,1,2,65,0.0766806,-0.0552934,-0.0600483,0,0,0
0,1,2,0,0,5,66,0.121544,-0.0618404,-0.0258775,0,0,-9.96321e-17
0,1,2,0,0,6,67,0.1186,-0.0625982,-0.0376585,0,0,-9.96025e-17
0,1,2,3,1,0,68,0.0956,-0.07025,0,0,0,0
0,1,2,3,1,1,69,0.138119,-0.0637276,-0.0609355,0,0,-9.9985e-17
0,1,2,3,2,17,70,0.144069,-0.0662859,-0.0770604,0,0,-8.10775e-17
0,1,2,3,2,16,71,0.140935,-0.0664056,-0.0738279,0,0,-8.36856e-17
0,1,3,3,2,17,72,0.0767304,-0.0670042,-0.0180925,0,0,0
0,1,3,3,2,16,73,0.0744622,-0.0666416,-0.0298017,0,0,0
0,1,3,3,1,0,74,0.0778428,-0.0649477,-0.019654,0,0,0
0,1,3,3,1,1,75,0.0740886,-0.0663492,-0.0411771,0,0,0
0,1,3,0,0,5,76,0.0788198,-0.0707205,-0.0657526,0,0,0
0,1,3,0,0,6,77,0.077848,-0.0709142,-0.068367,0,0,0
0,1,2,0,1,0,78,0.124763,-0.0613037,-0.0219942,0,0,-9.90872e-17
0,1,2,0,1,1,79,0.123267,-0.0611824,-0.0288939,0,0,-1.0018e-16
0,1,2,0,1,2,80,0.121824,-0.061212,-0.0266028,0,0,-9.22999e-17
0,1,2,0,2,17,81,0.131469,-0.0585341,-0.023732,0,0,-9.68645e-17
0,1,2,0,2,16,82,0.128447,-0.0577766,-0.0217693,0,0,-9.96916e-17
0,1,2,0,2,15,83,0.124856,-0.05899,-0.0236554,0,0,-9.97827e-17
0,1,2,1,0,5,84,0.130249,-0.0537958,-0.0313571,0,0,-9.78637e-17
0,1,2,1,0,6,85,0.128903,-0.0522602,-0.0200094,0,0,-1.01072e-16
0,1,2,1,0,7,86,0.127308,-0.0528268,-0.0198591,0,0,-1.01364e-16
0,1,2,1,1,0,87,0.133489,-0.0551739,-0.0193848,0,0,-1.01196e-16
0,1,2,1,1,1,88,0.1315,-0.0551365,-0.0247415,0,0,-1.00778e-16
0,1,2,1,1,2,89,0.128828,-0.0571206,-0.0339362,0,0,-1.01055e-16
0,1,2,1,2,17,90,0.129137,-0.0571327,-0.0270764,0,0,-9.90607e-17
0,1,2,1,2,16,91,0.128316,-0.0601698,-0.0515954,0,0,-1.00557e-16
0,1,2,1,2,15,92,0.126916,-0.0625957,-0.0590821,0,0,-9.84401e-17
0,1,2,2,0,5,93,0.129031,-0.0570281,-0.0276428,0,0,-1.0093e-16
0,1,2,2,0,6,94,0.127913,-0.0572629,-0.0284579,0,0,-1.01944e-16
0,1,2,2,0,7,95,0.12669,-0.0584267,-0.0305276,0,0,-1.00315e-16
0,1,2,2,1,0,96,0.136846,-0.0603206,-0.0682177,0,0,-9.57466e-17
0,1,2,2,1,1,97,0.133204,-0.0578225,-0.0321225,0,0,-1.03287e-16
0,1,2,2,1,2,98,0.131387,-0.0585557,-0.0315923,0,0,-1.01137e-16
0,1,2,2,2,17,99,0.136988,-0.0635194,-0.0651695,0,0,-9.98865e-17
0,1,2,2,2,16,100,0.134267,-0.0623617,-0.0439846,0,0,-1.00816e-16
0,1,2,2,2,15,101,0.132189,-0.0618663,-0.0394552,0,0,-9.92825e-17
0,1,2,3,0,5,102,0.0956,-0.07025,0,0,0,0
0,1,2,3,0,6,103,0.0956,-0.07025,0,0,0,0
0,1,2,3,0,7,104,0.0956,-0.07025,0,0,0,0
0,1,3,3,0,5,105,0.0782448,-0.0681356,-0.0262466,0,0,0
0,1,3,3,0,6,106,0.0760036,-0.0689259,-0.0445895,0,0,0
0,1,3,3,0,7,107,0.076017,-0.067785,-0.0344375,0,0,0
0,1,3,2,2,17,108,0.0857525,-0.0688325,-0.0360763,0,0,0
0,1,3,2,2,16,109,0.0832592,-0.0676976,-0.0345832,0,0,0
0,1,3,2,2,15,110,0.0775801,-0.0703026,-0.0469726,0,0,0
0,1,3,2,1,0,111,0.0836818,-0.06716,-0.0384785,0,0,0
0,1,3,2,1,1,112,0.082852,-0.065629,-0.0200374,0,0,0
0,1,3,2,1,2,113,0.0791958,-0.0654782,-0.0201911,0,0,0
0,1,3,2,0,5,114,0.0775881,-0.065229,-0.0209577,0,0,0
0,1,3,2,0,6,115,0.0759022,-0.0661793,-0.0324618,0,0,0
0,1,3,2,0,7,116,0.0749599,-0.0668349,-0.0295911,0,0,0
0,1,3,1,2,17,117,0.0738676,-0.0629617,-0.0302696,0,0,0
0,1,3,1,2,16,118,0.0729959,-0.0658184,-0.0536984,0,0,0
