half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz,dxErr,dyErr,dzErr,dRxErr,dRyErr,dRzErr,dxPull,dyPull,dzPull,dRxPull,dRyPull,dRzPull
0,0,0,1,2,15,26,0.031308,0.0106035,-0.0963165,0,0,-1.04966e-16,0.000143719,0.000181667,0.000589409,0,0,1.03802e-05,0.062616,0.021207,-0.192633,0,0,-1.04967e-14
0,0,0,2,0,5,27,0.024994,0.0202051,-0.0360783,0,0,-1.04633e-16,0.00014305,0.000143624,0.000204671,0,0,2.67108e-06,0.049988,0.0404103,-0.0721565,0,0,-1.04633e-14
0,0,0,2,0,6,28,0.0250983,0.0184198,-0.0576643,0,0,-1.02407e-16,0.000143325,0.000147709,0.000285419,0,0,5.04861e-06,0.0501965,0.0368396,-0.115329,0,0,-1.02407e-14
0,0,0,2,0,7,29,0.0252137,0.0166833,-0.0698967,0,0,-1.088e-16,0.000144832,0.000183019,0.000610028,0,0,1.06696e-05,0.0504274,0.0333666,-0.139793,0,0,-1.088e-14
0,0,0,2,1,0,30,0.0354629,0.014343,-0.0637553,0,0,-9.90635e-17,0.000143921,0.000143703,0.000254859,0,0,2.91089e-06,0.0709257,0.028686,-0.127511,0,0,-9.90635e-15
0,0,0,2,1,1,31,0.0335139,0.0146622,-0.0514633,0,0,-1.04165e-16,0.000143909,0.000144968,0.00025947,0,0,4.12728e-06,0.0670279,0.0293244,-0.102927,0,0,-1.04165e-14
0,0,0,2,1,2,32,0.0326057,0.0142369,-0.0609608,0,0,-9.80745e-17,0.000146064,0.000156868,0.000426655,0,0,7.3505e-06,0.0652114,0.0284737,-0.121922,0,0,-9.80746e-15
0,0,0,2,2,17,33,0.0421528,0.0136094,-0.0612262,0,0,-1.0006e-16,0.000145548,0.000143869,0.000282983,0,0,4.11469e-06,0.0843055,0.0272188,-0.122452,0,0,-1.0006e-14
0,0,0,2,2,16,34,0.0379673,0.014991,-0.0531132,0,0,-1.02065e-16,0.000146013,0.000146015,0.000300604,0,0,5.1616e-06,0.0759346,0.029982,-0.106226,0,0,-1.02065e-14
0,0,0,2,2,15,35,0.0363171,0.0150886,-0.0589843,0,0,-1.02632e-16,0.000151785,0.00016088,0.00049739,0,0,8.82341e-06,0.0726342,0.0301773,-0.117969,0,0,-1.02632e-14
0,0,0,3,0,5,36,0.0381793,0.0114795,-0.0574518,0,0,-9.94992e-17,0.000151826,0.00014483,0.000385131,0,0,5.91597e-06,0.0763586,0.0229591,-0.114904,0,0,-9.94992e-15
0,0,0,3,0,6,37,0.036389,0.0113875,-0.0550713,0,0,-1.00576e-16,0.000152762,0.000148439,0.000403674,0,0,6.79313e-06,0.0727781,0.022775,-0.110143,0,0,-1.00576e-14
0,0,0,3,0,7,38,0.0329658,0.0142692,-0.0474929,0,0,-1.39825e-16,0.000209509,0.0002227,0.00119794,0,0,2.20131e-05,0.0659315,0.0285384,-0.094986,0,0,-1.39825e-14
0,0,1,3,0,5,39,-0.0406661,0.0154451,-0.012313,0,0,0,0.000139954,0.000135844,0.000310348,0,0,5.17564e-06,-0.0813321,0.0308902,-0.0246259,0,0,0
0,0,1,3,0,6,40,-0.0370048,0.0150536,-0.034862,0,0,0,0.000141282,0.000138742,0.000339016,0,0,6.24984e-06,-0.0740097,0.0301072,-0.069724,0,0,0
0,0,1,3,0,7,41,-0.0339579,0.0132149,-0.0607958,0,0,0,0.000162845,0.000171514,0.00073008,0,0,1.06024e-05,-0.0679159,0.0264298,-0.121592,0,0,0
0,0,1,2,2,17,42,-0.0491211,0.0186025,-0.036956,0,0,0,0.000136434,0.000135353,0.00025058,0,0,3.79642e-06,-0.0982423,0.037205,-0.073912,0,0,0
0,0,1,2,2,16,43,-0.0415766,0.0180607,-0.049275,0,0,0,0.000137168,0.00013732,0.000282792,0,0,4.87294e-06,-0.0831531,0.0361214,-0.09855,0,0,0
0,0,1,2,2,15,44,-0.0338921,0.0181556,-0.0744477,0,0,0,0.000141951,0.000150866,0.000458996,0,0,8.57649e-06,-0.0677842,0.0363111,-0.148896,0,0,0
0,0,1,2,1,0,45,-0.0471264,0.0226113,-0.0134547,0,0,0,0.000135993,0.000135533,0.00029298,0,0,5.20164e-06,-0.0942528,0.0452226,-0.0269094,0,0,0
0,0,1,2,1,1,46,-0.0399102,0.0226888,-0.0278379,0,0,0,0.000136169,0.000138025,0.000315351,0,0,5.95865e-06,-0.0798204,0.0453776,-0.0556759,0,0,0
0,0,1,2,1,2,47,-0.0330548,0.0203918,-0.0682172,0,0,0,0.000138899,0.00015606,0.000509844,0,0,1.12016e-05,-0.0661096,0.0407836,-0.136434,0,0,0
0,0,1,2,0,5,48,-0.0261143,0.0189407,-0.0240531,0,0,0,0.000134737,0.00013532,0.000199236,0,0,2.46332e-06,-0.0522286,0.0378814,-0.0481062,0,0,0
0,0,1,2,0,6,49,-0.0240028,0.0159045,-0.0606092,0,0,0,0.000134943,0.000138894,0.000266797,0,0,4.65869e-06,-0.0480057,0.0318091,-0.121218,0,0,0
0,0,1,2,0,7,50,-0.0217763,0.0138812,-0.0755171,0,0,0,0.000135944,0.000166386,0.00052813,0,0,9.19315e-06,-0.0435526,0.0277623,-0.151034,0,0,0
0,0,1,1,2,17,51,-0.0294769,0.0226151,-0.0324641,0,0,0,0.000134671,0.000135279,0.000193849,0,0,2.43167e-06,-0.0589538,0.0452301,-0.0649281,0,0,0
0,0,1,1,2,16,52,-0.0269097,0.0183413,-0.0766507,0,0,0,0.000134801,0.000139089,0.000269113,0,0,4.74413e-06,-0.0538194,0.0366826,-0.153301,0,0,0
0,0,1,1,2,15,53,-0.024839,0.0170269,-0.0860334,0,0,0,0.000135332,0.000165366,0.000511714,0,0,9.29876e-06,-0.049678,0.0340538,-0.172067,0,0,0
0,0,1,1,1,0,54,-0.0430417,0.0210197,-0.0335436,0,0,0,0.000134862,0.000135348,0.000204313,0,0,2.72889e-06,-0.0860835,0.0420395,-0.0670871,0,0,0
0,0,1,1,1,1,55,-0.0364027,0.0197157,-0.0529061,0,0,0,0.000135294,0.000139557,0.000289221,0,0,5.34869e-06,-0.0728055,0.0394314,-0.105812,0,0,0
0,0,1,1,1,2,56,-0.032288,0.0192122,-0.0609562,0,0,0,0.000137145,0.000169159,0.000563427,0,0,9.87702e-06,-0.064576,0.0384244,-0.121913,0,0,0
0,0,1,1,0,5,57,-0.0218869,0.0142429,-0.0514844,0,0,0,0.000135785,0.000135348,0.000242306,0,0,3.33566e-06,-0.0437737,0.0284858,-0.102969,0,0,0
0,0,1,1,0,6,58,-0.0234461,0.0154705,-0.0418665,0,0,0,0.000136073,0.000136902,0.000263505,0,0,4.66406e-06,-0.0468922,0.030941,-0.083733,0,0,0
0,0,1,1,0,7,59,-0.0208123,0.013967,-0.0622951,0,0,0,0.0001385,0.00014737,0.000403291,0,0,7.71769e-06,-0.0416245,0.0279341,-0.12459,0,0,0
0,0,1,0,2,17,60,-0.028402,0.0135652,-0.0416976,0,0,0,0.000138154,0.000135666,0.000291046,0,0,4.59995e-06,-0.0568041,0.0271305,-0.0833953,0,0,0
0,0,1,0,2,16,61,-0.0256169,0.0138147,-0.0505997,0,0,0,0.000138482,0.000137832,0.000301288,0,0,5.25507e-06,-0.0512338,0.0276295,-0.101199,0,0,0
0,0,1,0,2,15,62,-0.0224876,0.0133975,-0.0626933,0,0,0,0.000145744,0.000153547,0.000504396,0,0,8.99979e-06,-0.0449753,0.0267951,-0.125387,0,0,0
0,0,1,0,1,0,63,-0.0199444,0.0136067,-0.041039,0,0,0,0.000149646,0.000137122,0.000450674,0,0,7.94833e-06,-0.0398888,0.0272134,-0.082078,0,0,0
0,0,1,0,1,1,64,-0.0175998,0.0133277,-0.0594494,0,0,0,0.000146993,0.000140639,0.000414128,0,0,7.25167e-06,-0.0351997,0.0266553,-0.118899,0,0,0
0,0,1,0,1,2,65,-0.0189194,0.0149566,-0.0600483,0,0,0,0.00030158,0.000307007,0.00206834,0,0,3.5507e-05,-0.0378387,0.0299131,-0.120098,0,0,0
0,1,2,0,0,5,66,0.0259445,0.00840963,-0.0258775,0,0,-9.96321e-17,0.000144945,0.000127084,0.00045359,0,0,7.26652e-06,0.0518889,0.0168193,-0.0517551,0,0,-9.96321e-15
0,1,2,0,0,6,67,0.023,0.0076518,-0.0376585,0,0,-9.96025e-17,0.000150755,0.000133813,0.000511255,0,0,1.06078e-05,0.046,0.0153036,-0.0753171,0,0,-9.96025e-15
0,1,2,3,1,0,68,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,1,2,3,1,1,69,0.0425189,0.00652243,-0.0609355,0,0,-9.9985e-17,0.00014236,0.000131706,0.000443975,0,0,7.79092e-06,0.0850379,0.0130449,-0.121871,0,0,-9.99851e-15
0,1,2,3,2,17,70,0.0484686,0.00396405,-0.0770604,0,0,-8.10775e-17,0.000306358,0.000142458,0.00158992,0,0,2.28592e-05,0.0969372,0.00792811,-0.154122,0,0,-8.10777e-15
0,1,2,3,2,16,71,0.045335,0.00384443,-0.0738279,0,0,-8.36856e-17,0.000231094,0.000160915,0.00107543,0,0,2.76937e-05,0.09067,0.00768886,-0.147656,0,0,-8.36859e-15
0,1,3,3,2,17,72,-0.0188696,0.00324582,-0.0180925,0,0,0,0.000161578,0.000121754,0.000631226,0,0,1.10304e-05,-0.0377393,0.00649163,-0.0361851,0,0,0
0,1,3,3,2,16,73,-0.0211378,0.00360836,-0.0298017,0,0,0,0.00016662,0.00013297,0.000668425,0,0,1.19785e-05,-0.0422757,0.00721672,-0.0596034,0,0,0
0,1,3,3,1,0,74,-0.0177572,0.00530234,-0.019654,0,0,0,0.000129397,0.00011907,0.00036538,0,0,6.62586e-06,-0.0355143,0.0106047,-0.039308,0,0,0
0,1,3,3,1,1,75,-0.0215114,0.00390079,-0.0411771,0,0,0,0.000129412,0.000122378,0.000364717,0,0,6.99023e-06,-0.0430228,0.00780158,-0.0823542,0,0,0
0,1,3,0,0,5,76,-0.0167802,-0.00047051,-0.0657526,0,0,0,0.000155361,0.000121694,0.000602597,0,0,8.90796e-06,-0.0335604,-0.00094102,-0.131505,0,0,0
0,1,3,0,0,6,77,-0.017752,-0.000664161,-0.068367,0,0,0,0.000141211,0.000126187,0.000481669,0,0,8.4877e-06,-0.0355039,-0.00132832,-0.136734,0,0,0
0,1,2,0,1,0,78,0.0291634,0.0089463,-0.0219942,0,0,-9.90872e-17,0.000131384,0.000125725,0.000319122,0,0,5.46209e-06,0.0583267,0.0178926,-0.0439884,0,0,-9.90872e-15
0,1,2,0,1,1,79,0.0276668,0.00906763,-0.0288939,0,0,-1.0018e-16,0.000132656,0.000128714,0.000340919,0,0,6.49669e-06,0.0553336,0.0181353,-0.0577879,0,0,-1.0018e-14
0,1,2,0,1,2,80,0.0262236,0.00903799,-0.0266028,0,0,-9.22999e-17,0.00016847,0.000174285,0.000864291,0,0,1.26848e-05,0.0524472,0.018076,-0.0532056,0,0,-9.23e-15
0,1,2,0,2,17,81,0.0358686,0.0117159,-0.023732,0,0,-9.68645e-17,0.000126997,0.000125187,0.000260202,0,0,4.264e-06,0.0717372,0.0234318,-0.047464,0,0,-9.68645e-15
0,1,2,0,2,16,82,0.0328467,0.0124734,-0.0217693,0,0,-9.96916e-17,0.000127619,0.000127198,0.00028026,0,0,5.09e-06,0.0656934,0.0249469,-0.0435387,0,0,-9.96916e-15
0,1,2,0,2,15,83,0.0292564,0.01126,-0.0236554,0,0,-9.97827e-17,0.000132761,0.00013963,0.000436527,0,0,9.05197e-06,0.0585129,0.02252,-0.0473108,0,0,-9.97827e-15
0,1,2,1,0,5,84,0.034649,0.0164542,-0.0313571,0,0,-9.78637e-17,0.000125265,0.000124971,0.000219654,0,0,2.77071e-06,0.0692979,0.0329084,-0.0627142,0,0,-9.78637e-15
0,1,2,1,0,6,85,0.0333031,0.0179898,-0.0200094,0,0,-1.01072e-16,0.000125652,0.000126468,0.000249338,0,0,4.02291e-06,0.0666062,0.0359795,-0.0400189,0,0,-1.01072e-14
0,1,2,1,0,7,86,0.0317076,0.0174232,-0.0198591,0,0,-1.01364e-16,0.000127189,0.00013493,0.000357778,0,0,6.63075e-06,0.0634152,0.0348465,-0.0397183,0,0,-1.01364e-14
0,1,2,1,1,0,87,0.0378891,0.0150761,-0.0193848,0,0,-1.01196e-16,0.00012461,0.000125159,0.000203807,0,0,2.81604e-06,0.0757782,0.0301522,-0.0387696,0,0,-1.01196e-14
0,1,2,1,1,1,88,0.0358996,0.0151135,-0.0247415,0,0,-1.00778e-16,0.000124879,0.000128503,0.00026224,0,0,4.65393e-06,0.0717991,0.0302269,-0.0494831,0,0,-1.00778e-14
0,1,2,1,1,2,89,0.033228,0.0131294,-0.0339362,0,0,-1.01055e-16,0.000126029,0.000149519,0.000466299,0,0,8.9431e-06,0.066456,0.0262587,-0.0678724,0,0,-1.01055e-14
