half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz,dxErr,dyErr,dzErr,dRxErr,dRyErr,dRzErr,dxPull,dyPull,dzPull,dRxPull,dRyPull,dRzPull
0,0,0,1,2,15,26,0.0585216,-0.0184843,-0.0874652,0,0,-1.06899e-16,0.000131666,0.000170088,0.000572691,0,0,1.30447e-05,0.117043,-0.0369685,-0.174931,0,0,-1.069e-14
0,0,0,2,0,5,27,0.0521315,-0.0123751,-0.0481062,0,0,-1.05452e-16,0.000130603,0.000132315,0.000197545,0,0,3.25324e-06,0.104263,-0.0247502,-0.0962124,0,0,-1.05452e-14
0,0,0,2,0,6,28,0.0522107,-0.0135345,-0.0650676,0,0,-1.03104e-16,0.00013097,0.000136927,0.000287826,0,0,6.19516e-06,0.104421,-0.0270689,-0.130135,0,0,-1.03104e-14
0,0,0,2,0,7,29,0.0521958,-0.0140402,-0.0704923,0,0,-1.11131e-16,0.000133004,0.000173223,0.000606628,0,0,1.37728e-05,0.104392,-0.0280804,-0.140985,0,0,-1.11131e-14
0,0,0,2,1,0,30,0.0616733,-0.0171581,-0.0600265,0,0,-9.89592e-17,0.000131547,0.000132238,0.00022787,0,0,3.42693e-06,0.123347,-0.0343162,-0.120053,0,0,-9.89593e-15
0,0,0,2,1,1,31,0.0605652,-0.0174126,-0.0593418,0,0,-1.04664e-16,0.000131504,0.000133588,0.000247374,0,0,4.86471e-06,0.12113,-0.0348253,-0.118684,0,0,-1.04664e-14
0,0,0,2,1,2,32,0.0597024,-0.0174805,-0.0682749,0,0,-1.00229e-16,0.00013401,0.000145937,0.00041865,0,0,9.17903e-06,0.119405,-0.0349609,-0.13655,0,0,-1.00229e-14
0,0,0,2,2,17,33,0.0684033,-0.0180924,-0.0602018,0,0,-9.89146e-17,0.000133628,0.000132753,0.000286876,0,0,5.08965e-06,0.136807,-0.0361848,-0.120404,0,0,-9.89146e-15
0,0,0,2,2,16,34,0.0653024,-0.0172785,-0.0628783,0,0,-1.03234e-16,0.000133873,0.00013495,0.000299448,0,0,6.27454e-06,0.130605,-0.034557,-0.125757,0,0,-1.03234e-14
0,0,0,2,2,15,35,0.0631835,-0.0165276,-0.0649088,0,0,-1.05578e-16,0.000140527,0.000150933,0.000499954,0,0,1.12574e-05,0.126367,-0.0330552,-0.129818,0,0,-1.05578e-14
0,0,0,3,0,5,36,0.0652039,-0.0205682,-0.0637672,0,0,-9.70022e-17,0.000141263,0.000134099,0.000408136,0,0,7.51221e-06,0.130408,-0.0411364,-0.127534,0,0,-9.70022e-15
0,0,0,3,0,6,37,0.0634058,-0.020689,-0.0623776,0,0,-9.93099e-17,0.000142392,0.000138277,0.000424959,0,0,8.67673e-06,0.126812,-0.0413781,-0.124755,0,0,-9.93099e-15
0,0,0,3,0,7,38,0.0607278,-0.0185523,-0.0609283,0,0,-1.40697e-16,0.000170362,0.000179127,0.000869993,0,0,2.89142e-05,0.121456,-0.0371046,-0.121857,0,0,-1.40698e-14
0,0,1,3,0,5,39,-0.0143684,-0.0176439,-0.0271446,0,0,0,0.000129106,0.000125469,0.000320713,0,0,6.52174e-06,-0.0287368,-0.0352879,-0.0542892,0,0,0
0,0,1,3,0,6,40,-0.0100789,-0.0177757,-0.044427,0,0,0,0.000131006,0.000128989,0.000358778,0,0,8.17208e-06,-0.0201578,-0.0355514,-0.0888541,0,0,0
0,0,1,3,0,7,41,-0.00637951,-0.0186252,-0.0646025,0,0,0,0.000151021,0.000161318,0.000733631,0,0,1.50272e-05,-0.012759,-0.0372503,-0.129205,0,0,0
0,0,1,2,2,17,42,-0.0215677,-0.0139865,-0.0404777,0,0,0,0.000124862,0.00012471,0.00024302,0,0,4.62115e-06,-0.0431353,-0.027973,-0.0809554,0,0,0
0,0,1,2,2,16,43,-0.0146423,-0.0145129,-0.0565648,0,0,0,0.000125715,0.000126907,0.000282191,0,0,5.95601e-06,-0.0292846,-0.0290259,-0.11313,0,0,0
0,0,1,2,2,15,44,-0.00760034,-0.0146006,-0.0854721,0,0,0,0.000130919,0.000141238,0.000460442,0,0,1.06768e-05,-0.0152007,-0.0292012,-0.170944,0,0,0
0,0,1,2,1,0,45,-0.0200604,-0.0100515,-0.0202042,0,0,0,0.000123788,0.000124503,0.000208968,0,0,3.87971e-06,-0.0401208,-0.020103,-0.0404084,0,0,0
0,0,1,2,1,1,46,-0.0137552,-0.0104708,-0.0424322,0,0,0,0.000123722,0.000125739,0.000229658,0,0,4.56956e-06,-0.0275103,-0.0209416,-0.0848643,0,0,0
0,0,1,2,1,2,47,-0.00728528,-0.0124906,-0.0810383,0,0,0,0.000125304,0.000135672,0.00037043,0,0,8.53319e-06,-0.0145706,-0.0249813,-0.162077,0,0,0
0,0,1,2,0,5,48,-7.18425e-05,-0.0146329,-0.0379335,0,0,0,0.000123047,0.000124659,0.000185352,0,0,2.96483e-06,-0.000143685,-0.0292658,-0.0758669,0,0,0
0,0,1,2,0,6,49,0.00209692,-0.0164054,-0.0643472,0,0,0,0.000123312,0.000128528,0.000263186,0,0,5.61373e-06,0.00419383,-0.0328107,-0.128694,0,0,0
0,0,1,2,0,7,50,0.0042308,-0.0172718,-0.0730759,0,0,0,0.000124577,0.00015556,0.000512619,0,0,1.14003e-05,0.00846159,-0.0345436,-0.146152,0,0,0
0,0,1,1,2,17,51,-0.00348316,-0.0104879,-0.0401849,0,0,0,0.000122988,0.000124684,0.000184327,0,0,3.01337e-06,-0.00696631,-0.0209758,-0.0803699,0,0,0
0,0,1,1,2,16,52,-0.000949473,-0.0133862,-0.0764101,0,0,0,0.000123179,0.000128638,0.000262252,0,0,5.69915e-06,-0.00189895,-0.0267723,-0.15282,0,0,0
0,0,1,1,2,15,53,0.00113597,-0.0142309,-0.0844112,0,0,0,0.000124028,0.000154939,0.000498243,0,0,1.16796e-05,0.00227193,-0.0284619,-0.168823,0,0,0
0,0,1,1,1,0,54,-0.0172612,-0.0121049,-0.0413794,0,0,0,0.000123224,0.000124698,0.000189094,0,0,3.21683e-06,-0.0345224,-0.0242097,-0.0827588,0,0,0
0,0,1,1,1,1,55,-0.0105489,-0.0130944,-0.0604467,0,0,0,0.000123748,0.000129221,0.000284654,0,0,6.39072e-06,-0.0210978,-0.0261889,-0.120894,0,0,0
0,0,1,1,1,2,56,-0.00629265,-0.0136583,-0.0683771,0,0,0,0.000125923,0.000157593,0.000540425,0,0,1.24815e-05,-0.0125853,-0.0273165,-0.136754,0,0,0
0,0,1,1,0,5,57,0.0031461,-0.0182008,-0.0482577,0,0,0,0.000124281,0.000124715,0.000228629,0,0,4.02522e-06,0.0062922,-0.0364015,-0.0965155,0,0,0
0,0,1,1,0,6,58,0.0025608,-0.017736,-0.0522608,0,0,0,0.000124475,0.000126257,0.000250603,0,0,5.33622e-06,0.0051216,-0.0354719,-0.104522,0,0,0
0,0,1,1,0,7,59,0.00499306,-0.0186575,-0.0695061,0,0,0,0.000127324,0.000137453,0.000398915,0,0,9.45752e-06,0.00998611,-0.037315,-0.139012,0,0,0
0,0,1,0,2,17,60,-0.00284653,-0.019163,-0.0446283,0,0,0,0.000127218,0.000125365,0.000297354,0,0,5.54991e-06,-0.00569306,-0.0383261,-0.0892565,0,0,0
0,0,1,0,2,16,61,0.000298754,-0.0192125,-0.0589338,0,0,0,0.000127263,0.000127597,0.000302608,0,0,6.38534e-06,0.000597508,-0.0384249,-0.117868,0,0,0
0,0,1,0,2,15,62,0.00310213,-0.0190959,-0.0682376,0,0,0,0.000134853,0.000143522,0.000496244,0,0,1.14385e-05,0.00620426,-0.0381919,-0.136475,0,0,0
0,0,1,0,1,0,63,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,1,64,0.00734649,-0.0191074,-0.0608443,0,0,0,0.000137653,0.000131247,0.000432414,0,0,9.29307e-06,0.014693,-0.0382148,-0.121689,0,0,0
0,0,1,0,1,2,65,0.00649681,-0.017496,-0.0641217,0,0,0,0.000203515,0.000208829,0.00127332,0,0,4.89617e-05,0.0129936,-0.0349921,-0.128244,0,0,0
0,1,2,0,0,5,66,0.0511094,-0.0259416,-0.0360222,0,0,-9.87542e-17,0.000135604,0.000118067,0.000459211,0,0,9.2104e-06,0.102219,-0.0518831,-0.0720444,0,0,-9.87543e-15
0,1,2,0,0,6,67,0.0482996,-0.0265148,-0.0467648,0,0,-9.91069e-17,0.000135958,0.00012308,0.000460189,0,0,1.04296e-05,0.0965992,-0.0530296,-0.0935296,0,0,-9.9107e-15
0,1,2,3,1,0,68,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,1,2,3,1,1,69,0.0658687,-0.0273559,-0.0645429,0,0,-1.00025e-16,0.00013328,0.000123107,0.000448276,0,0,9.61348e-06,0.131737,-0.0547118,-0.129086,0,0,-1.00025e-14
0,1,2,3,2,17,70,0.0712922,-0.0303876,-0.0797403,0,0,-8.57338e-17,0.000235648,0.000133968,0.00125517,0,0,2.94036e-05,0.142585,-0.0607751,-0.159481,0,0,-8.57341e-15
0,1,2,3,2,16,71,0.0680573,-0.0297064,-0.0731594,0,0,-8.62432e-17,0.000181103,0.00013849,0.000787734,0,0,2.76771e-05,0.136115,-0.0594129,-0.146319,0,0,-8.62435e-15
0,1,3,3,2,17,72,0.00530433,-0.0321074,-0.0268027,0,0,0,0.000152786,0.00011388,0.000632046,0,0,1.44969e-05,0.0106087,-0.0642147,-0.0536053,0,0,0
0,1,3,3,2,16,73,0.00242139,-0.0319309,-0.0415515,0,0,0,0.000149006,0.00012228,0.000595855,0,0,1.4681e-05,0.00484278,-0.0638618,-0.0831031,0,0,0
0,1,3,3,1,0,74,0.00584386,-0.0301005,-0.0327744,0,0,0,0.000119673,0.000110523,0.000360133,0,0,7.70155e-06,0.0116877,-0.060201,-0.0655488,0,0,0
0,1,3,3,1,1,75,0.00225327,-0.031409,-0.0527225,0,0,0,0.000120818,0.000114159,0.000371359,0,0,8.58466e-06,0.00450653,-0.0628179,-0.105445,0,0,0
0,1,3,0,0,5,76,0.00583583,-0.0356613,-0.0735848,0,0,0,0.00014801,0.000114516,0.000620538,0,0,1.19983e-05,0.0116717,-0.0713227,-0.14717,0,0,0
0,1,3,0,0,6,77,0.00474177,-0.0355596,-0.0735877,0,0,0,0.000132281,0.000118122,0.000476883,0,0,1.01845e-05,0.00948354,-0.0711192,-0.147176,0,0,0
0,1,2,0,1,0,78,0.0536466,-0.0255489,-0.0370832,0,0,-9.73403e-17,0.000121832,0.000116418,0.000328939,0,0,6.75346e-06,0.107293,-0.0510979,-0.0741664,0,0,-9.73403e-15
0,1,2,0,1,1,79,0.0521009,-0.0256384,-0.0440781,0,0,-9.88667e-17,0.000123299,0.000119748,0.000350901,0,0,8.31327e-06,0.104202,-0.0512769,-0.0881563,0,0,-9.88667e-15
0,1,2,0,1,2,80,0.050624,-0.0258161,-0.0410012,0,0,-9.17838e-17,0.000156413,0.000162952,0.00085487,0,0,1.94483e-05,0.101248,-0.0516322,-0.0820026,0,0,-9.1784e-15
0,1,2,0,2,17,81,0.0605858,-0.0226787,-0.0366246,0,0,-9.54126e-17,0.000116424,0.000115553,0.000251028,0,0,5.0611e-06,0.121172,-0.0453573,-0.0732493,0,0,-9.54126e-15
